sequence,baseline,candidate,baseline_success_auc,candidate_success_auc,delta_success_auc,baseline_precision_20,candidate_precision_20,delta_precision_20,baseline_mean_iou,candidate_mean_iou,delta_mean_iou,total_frames,zoom_1,zoom_2,zoom_4,zoom_8,zoom_8_frames,recovery_frames,caution_frames,predict_only_frames,low_assoc_frames,command_summary
bike1,ufz,ufz_v2_2,0.614429081392104,0.6492509309239958,0.034822,0.8007774538386784,0.8551992225461613,0.054422,0.6155895340363726,0.650826231975044,0.035237,1029,2,495,532,0,0,0,0,0,0,init:1;keep:1023;zoom_in_to_2:1;zoom_in_to_4:2;zoom_out_to_2:2
bike2,ufz,ufz_v2_2,0.03136205512443125,0.03136205512443125,0.000000,0.06486486486486487,0.06486486486486487,0.000000,0.0217001617001617,0.0217001617001617,0.000000,185,185,0,0,0,0,183,0,184,0,init:1;keep:184
bike3,ufz,ufz_v2_2,0.03857972004096958,0.03857972004096958,0.000000,0.0896551724137931,0.0896551724137931,0.000000,0.02912154782337338,0.02912154782337338,0.000000,145,145,0,0,0,0,143,0,144,0,init:1;keep:144
boat1,ufz,ufz_v2_2,0.9158909246406368,0.9160553929147067,0.000164,1.0,1.0,0.000000,0.9199941768013031,0.9203567989838952,0.000363,301,30,271,0,0,0,0,0,0,0,init:1;keep:299;zoom_in_to_2:1
boat2,ufz,ufz_v2_2,0.9250936329588015,0.922423703044462,-0.002670,1.0,1.0,0.000000,0.9292112112110933,0.9264792102376596,-0.002732,267,2,265,0,0,0,0,0,0,0,init:1;keep:265;zoom_in_to_2:1
boat3,ufz,ufz_v2_2,0.8625045228775371,0.8702674254136378,0.007763,1.0,1.0,0.000000,0.8657316909417698,0.8741173827887304,0.008386,301,2,298,1,0,0,0,0,0,0,init:1;keep:298;zoom_in_to_2:1;zoom_in_to_4:1
boat4,ufz,ufz_v2_2,0.8327000267594331,0.7957720096333961,-0.036928,0.9675675675675676,0.972972972972973,0.005405,0.8359140086430709,0.7986445460045096,-0.037269,185,2,183,0,0,0,0,0,0,11,init:1;keep:183;zoom_in_to_2:1
boat5,ufz,ufz_v2_2,0.9195031929228427,0.9257718671275412,0.006269,1.0,1.0,0.000000,0.9233342839125861,0.9297595793979374,0.006425,169,2,106,61,0,0,0,0,0,0,init:1;keep:165;zoom_in_to_2:1;zoom_in_to_4:1;zoom_out_to_2:1
boat6,ufz,ufz_v2_2,0.7798225919246203,0.7238764768670182,-0.055946,1.0,1.0,0.000000,0.7827094307951327,0.7259198832898971,-0.056790,269,10,259,0,0,0,0,0,0,45,init:1;keep:266;zoom_in_to_2:1;zoom_out_to_1:1
boat7,ufz,ufz_v2_2,0.9006582222468057,0.8772055976547373,-0.023453,0.9776536312849162,0.9888268156424581,0.011173,0.904125432328209,0.8808739306846328,-0.023252,179,29,100,50,0,0,0,0,0,25,init:1;keep:175;zoom_in_to_2:1;zoom_in_to_4:1;zoom_out_to_2:1
boat8,ufz,ufz_v2_2,0.10657615979938596,0.05694150201046292,-0.049635,0.45414847161572053,0.4148471615720524,-0.039301,0.09901240324900158,0.04841434721574779,-0.050598,229,229,0,0,0,0,227,0,228,0,init:1;keep:228
boat9,ufz,ufz_v2_2,0.20722115038056266,0.5612398498950538,0.354019,0.26552462526766596,0.7451820128479657,0.479657,0.20064957818071172,0.5606149020769461,0.359965,467,152,166,149,0,0,136,0,154,152,cooldown_keep:3;init:1;keep:439;zoom_in_to_2:7;zoom_in_to_4:5;zoom_out_to_1:7;zoom_out_to_2:5
building1,ufz,ufz_v2_2,0.03285615185722405,0.03285615185722405,0.000000,0.03184713375796178,0.03184713375796178,0.000000,0.02337726772075991,0.02337726772075991,0.000000,157,157,0,0,0,0,155,0,156,0,init:1;keep:156
building2,ufz,ufz_v2_2,0.18006463858821148,0.18006463858821148,0.000000,0.22797927461139897,0.22797927461139897,0.000000,0.1734030668856632,0.1734030668856632,0.000000,193,193,0,0,0,0,191,0,192,0,init:1;keep:192
building3,ufz,ufz_v2_2,0.018622439861314677,0.018622439861314677,0.000000,0.01444043321299639,0.01444043321299639,0.000000,0.008856610256084642,0.008856610256084642,0.000000,277,277,0,0,0,0,275,0,276,0,init:1;keep:276
building4,ufz,ufz_v2_2,0.04995670669728567,0.10066634039829842,0.050710,0.049429657794676805,0.11787072243346007,0.068441,0.04085559865950239,0.09314431331567537,0.052289,263,193,60,10,0,0,151,0,177,82,cooldown_keep:6;init:1;keep:234;zoom_in_to_2:8;zoom_in_to_4:3;zoom_out_to_1:8;zoom_out_to_2:3
building5,ufz,ufz_v2_2,0.056392595781317334,0.10706598610171568,0.050673,0.09316770186335403,0.15527950310559005,0.062112,0.04780232119468841,0.09909859913152375,0.051296,161,161,0,0,0,0,159,0,160,0,init:1;keep:160
car10,ufz,ufz_v2_2,0.8521395849606287,0.8507884903628957,-0.001351,1.0,1.0,0.000000,0.8556812529293731,0.8542225475854733,-0.001459,469,2,6,461,0,0,0,0,0,0,init:1;keep:466;zoom_in_to_2:1;zoom_in_to_4:1
car11,ufz,ufz_v2_2,0.04249539998247611,0.04249539998247611,0.000000,0.07079646017699115,0.07079646017699115,0.000000,0.033275553812698214,0.033275553812698214,0.000000,113,113,0,0,0,0,111,0,112,0,init:1;keep:112
car12,ufz,ufz_v2_2,0.018734807612497767,0.018734807612497767,0.000000,0.017964071856287425,0.017964071856287425,0.000000,0.008976917958953888,0.008976917958953888,0.000000,167,167,0,0,0,0,165,0,166,0,init:1;keep:166
car13,ufz,ufz_v2_2,0.01702400455872921,0.01702400455872921,0.000000,0.014388489208633094,0.014388489208633094,0.000000,0.007194244604316547,0.007194244604316547,0.000000,139,139,0,0,0,0,137,0,138,0,init:1;keep:138
car14,ufz,ufz_v2_2,0.17113291464586627,0.1134926133696892,-0.057640,0.2076749435665914,0.13544018058690746,-0.072235,0.1638990745519961,0.10533754385085262,-0.058562,443,398,45,0,0,0,396,0,397,16,init:1;keep:440;zoom_in_to_2:1;zoom_out_to_1:1
car15,ufz,ufz_v2_2,0.03619852431102992,0.03619852431102992,0.000000,0.08917197452229299,0.08917197452229299,0.000000,0.02678748389595681,0.02678748389595681,0.000000,157,157,0,0,0,0,155,0,156,0,init:1;keep:156
car17,ufz,ufz_v2_2,0.014837461083218753,0.014837461083218753,0.000000,0.0764872521246459,0.0764872521246459,0.000000,0.005198940588019156,0.005198940588019156,0.000000,353,353,0,0,0,0,351,0,352,0,init:1;keep:352
car18,ufz,ufz_v2_2,0.9083114266761665,0.9128565462005257,0.004545,1.0,1.0,0.000000,0.9122644330931979,0.9169722874345152,0.004708,403,32,371,0,0,0,0,0,0,2,init:1;keep:399;zoom_in_to_2:2;zoom_out_to_1:1
car1_s,ufz,ufz_v2_2,0.012315865732914714,0.02100941801497222,0.008694,0.0020325203252032522,0.012195121951219513,0.010163,0.0024407058792930317,0.011284485228908053,0.008844,492,490,2,0,0,0,484,0,486,4,init:1;keep:489;zoom_in_to_2:1;zoom_out_to_1:1
car2,ufz,ufz_v2_2,0.01713028445701713,0.01713028445701713,0.000000,0.011337868480725623,0.011337868480725623,0.000000,0.007381806131641135,0.007381806131641135,0.000000,441,441,0,0,0,0,439,0,440,0,init:1;keep:440
car2_s,ufz,ufz_v2_2,0.04173221060423793,0.15230868881280638,0.110576,0.102803738317757,0.1588785046728972,0.056075,0.032379615068165536,0.1464411568688185,0.114062,107,86,17,4,0,0,72,0,79,14,cooldown_keep:1;init:1;keep:101;zoom_in_to_2:1;zoom_in_to_4:1;zoom_out_to_1:1;zoom_out_to_2:1
car3,ufz,ufz_v2_2,0.6418709933820611,0.22972716119779496,-0.412144,0.8865619546247818,0.3089005235602094,-0.577661,0.6426996860839448,0.22363954082467438,-0.419060,573,448,5,120,0,0,446,0,448,90,cooldown_keep:2;init:1;keep:566;zoom_in_to_2:1;zoom_in_to_4:1;zoom_out_to_1:1;zoom_out_to_2:1
car3_s,ufz,ufz_v2_2,0.16382260345850255,0.20960897933111297,0.045786,0.17050691244239632,0.2350230414746544,0.064516,0.1564162420604201,0.20289369323076045,0.046477,434,379,39,16,0,0,329,0,333,39,cooldown_keep:2;init:1;keep:425;zoom_in_to_2:2;zoom_in_to_4:1;zoom_out_to_1:2;zoom_out_to_2:1
car4,ufz,ufz_v2_2,0.08196432115371885,0.08622020331209053,0.004256,0.133630289532294,0.16481069042316257,0.031180,0.07374002348648703,0.07800361741516934,0.004264,449,443,6,0,0,0,439,0,443,5,cooldown_keep:1;init:1;keep:443;zoom_in_to_2:2;zoom_out_to_1:2
car4_s,ufz,ufz_v2_2,0.017800335990277805,0.0334560531865461,0.015656,0.007220216606498195,0.021660649819494584,0.014440,0.00802652918032694,0.023954842687814587,0.015928,277,275,2,0,0,0,269,0,273,2,init:1;keep:274;zoom_in_to_2:1;zoom_out_to_1:1
car5,ufz,ufz_v2_2,0.9500178933556008,0.9459223030736807,-0.004096,1.0,1.0,0.000000,0.9541460917695401,0.9501797664750408,-0.003966,249,44,205,0,0,0,0,0,0,0,init:1;keep:247;zoom_in_to_2:1
car7,ufz,ufz_v2_2,0.030994403788204908,0.030994403788204908,0.000000,0.028985507246376812,0.028985507246376812,0.000000,0.021575111943881314,0.021575111943881314,0.000000,345,345,0,0,0,0,343,0,344,0,init:1;keep:344
car9,ufz,ufz_v2_2,0.3693369336933698,0.3606834367647296,-0.008653,0.4258373205741627,0.4258373205741627,0.000000,0.36512273947984397,0.35641488905048296,-0.008708,627,366,39,222,0,0,364,0,365,120,init:1;keep:622;zoom_in_to_2:1;zoom_in_to_4:1;zoom_out_to_1:1;zoom_out_to_2:1
person1,ufz,ufz_v2_2,0.8484073126413768,0.8394333815404016,-0.008974,1.0,1.0,0.000000,0.851305107557244,0.842852641325293,-0.008452,267,267,0,0,0,0,0,0,0,1,init:1;keep:266
person10,ufz,ufz_v2_2,0.1888156557591242,0.1861153857321217,-0.002700,0.19941348973607037,0.19941348973607037,0.000000,0.18175715701980324,0.17891431660079649,-0.002843,341,273,68,0,0,0,271,0,272,0,init:1;keep:338;zoom_in_to_2:1;zoom_out_to_1:1
person11,ufz,ufz_v2_2,0.7851772729140128,0.7910521342590687,0.005875,0.975103734439834,0.950207468879668,-0.024896,0.7878800569711008,0.7936295264304447,0.005749,241,2,239,0,0,0,0,0,0,0,init:1;keep:239;zoom_in_to_2:1
person13,ufz,ufz_v2_2,0.01483470380936393,0.01483470380936393,0.000000,0.006779661016949152,0.006779661016949152,0.000000,0.005016965462742813,0.005016965462742813,0.000000,295,295,0,0,0,0,293,0,294,0,init:1;keep:294
person15,ufz,ufz_v2_2,0.8169978071632664,0.6069284780827074,-0.210069,1.0,0.7225950782997763,-0.277405,0.8201726005831068,0.6065465020236959,-0.213626,447,130,160,157,0,0,129,0,130,0,init:1;keep:442;zoom_in_to_2:1;zoom_in_to_4:1;zoom_out_to_1:1;zoom_out_to_2:1
person16,ufz,ufz_v2_2,0.11115994105938012,0.11278856345164534,0.001629,0.13315926892950392,0.13315926892950392,0.000000,0.10289096204095448,0.10452934130742894,0.001638,383,333,5,45,0,0,332,0,333,2,cooldown_keep:3;init:1;keep:375;zoom_in_to_2:1;zoom_in_to_4:1;zoom_out_to_1:1;zoom_out_to_2:1
person18,ufz,ufz_v2_2,0.6796976471840728,0.6796976471840728,0.000000,0.7548387096774194,0.7548387096774194,0.000000,0.6810200403783258,0.6810200403783258,0.000000,465,465,0,0,0,0,58,0,62,43,init:1;keep:464
person1_s,ufz,ufz_v2_2,0.21049801609374413,0.2177661586383357,0.007268,0.24719101123595505,0.2565543071161049,0.009363,0.20406948726107244,0.2113888568995606,0.007319,534,394,96,44,0,0,384,0,392,15,cooldown_keep:4;init:1;keep:513;zoom_in_to_2:4;zoom_in_to_4:4;zoom_out_to_1:4;zoom_out_to_2:4
person20,ufz,ufz_v2_2,0.8211997670355269,0.8099176304185038,-0.011282,0.9109243697478991,0.880672268907563,-0.030252,0.824405812703426,0.8129753417358582,-0.011430,595,415,180,0,0,0,0,0,0,9,init:1;keep:590;zoom_in_to_2:2;zoom_out_to_1:2
person21,ufz,ufz_v2_2,0.0203486606329344,0.0203486606329344,0.000000,0.06134969325153374,0.06134969325153374,0.000000,0.010602507042372132,0.010602507042372132,0.000000,163,163,0,0,0,0,161,0,162,0,init:1;keep:162
person22,ufz,ufz_v2_2,0.8237032658489737,0.8610905866706077,0.037387,1.0,1.0,0.000000,0.8269494224872638,0.86475877450489,0.037809,67,2,4,61,0,0,0,0,0,0,cooldown_keep:3;init:1;keep:61;zoom_in_to_2:1;zoom_in_to_4:1
person23,ufz,ufz_v2_2,0.018164222437281375,0.018164222437281375,0.000000,0.007518796992481203,0.007518796992481203,0.000000,0.008762906999510357,0.008762906999510357,0.000000,133,133,0,0,0,0,131,0,132,0,init:1;keep:132
person2_s,ufz,ufz_v2_2,0.8336869401225835,0.8341584158415845,0.000471,0.9642857142857143,0.9523809523809523,-0.011905,0.8369714884818574,0.8375742225179462,0.000603,84,2,64,18,0,0,0,0,0,0,init:1;keep:80;zoom_in_to_2:1;zoom_in_to_4:1;zoom_out_to_2:1
person3,ufz,ufz_v2_2,0.8352751554225188,0.8395118581625607,0.004237,1.0,1.0,0.000000,0.8385753717750908,0.8429089914526418,0.004334,215,2,213,0,0,0,0,0,0,0,init:1;keep:213;zoom_in_to_2:1
person3_s,ufz,ufz_v2_2,0.36809420587029146,0.358134630031051,-0.009960,0.378698224852071,0.378698224852071,0.000000,0.3642442512669504,0.35449048070691225,-0.009754,169,117,52,0,0,0,90,0,94,9,init:1;keep:162;zoom_in_to_2:3;zoom_out_to_1:3
person6,ufz,ufz_v2_2,0.8597743495279762,0.8512548929311538,-0.008519,1.0,1.0,0.000000,0.8634014203998328,0.8546032243956172,-0.008798,301,2,299,0,0,0,0,0,0,0,init:1;keep:299;zoom_in_to_2:1
person9,ufz,ufz_v2_2,0.06424443349312302,0.06424443349312302,0.000000,0.06334841628959276,0.06334841628959276,0.000000,0.05517222560788426,0.05517222560788426,0.000000,221,221,0,0,0,0,205,0,206,1,init:1;keep:220
truck1,ufz,ufz_v2_2,0.47550303417438483,0.8354519322900031,0.359949,0.45161290322580644,0.8516129032258064,0.400000,0.473117273656904,0.8387730449428815,0.365656,155,53,79,23,0,0,3,0,5,10,init:1;keep:149;zoom_in_to_2:2;zoom_in_to_4:1;zoom_out_to_1:1;zoom_out_to_2:1
truck2,ufz,ufz_v2_2,0.031007751937984534,0.031007751937984534,0.000000,0.023255813953488372,0.023255813953488372,0.000000,0.02149650083770516,0.02149650083770516,0.000000,129,129,0,0,0,0,127,0,128,0,init:1;keep:128
truck3,ufz,ufz_v2_2,0.02245699430278225,0.02245699430278225,0.000000,0.0223463687150838,0.0223463687150838,0.000000,0.012772749431097493,0.012772749431097493,0.000000,179,179,0,0,0,0,177,0,178,0,init:1;keep:178
uav2,ufz,ufz_v2_2,0.03190319031903183,0.03190319031903183,0.000000,0.06666666666666667,0.06666666666666667,0.000000,0.022222222222222223,0.022222222222222223,0.000000,45,45,0,0,0,0,43,0,44,0,init:1;keep:44
uav3,ufz,ufz_v2_2,0.02202692179330291,0.02202692179330291,0.000000,0.011235955056179775,0.011235955056179775,0.000000,0.012325816747541324,0.012325816747541324,0.000000,89,89,0,0,0,0,87,0,88,0,init:1;keep:88
uav4,ufz,ufz_v2_2,0.029889781430973397,0.028955725761255473,-0.000934,0.18867924528301888,0.05660377358490566,-0.132075,0.02172834917904696,0.019322753695297797,-0.002406,53,53,0,0,0,0,49,0,51,1,init:1;keep:52
uav5,ufz,ufz_v2_2,0.030966926479882067,0.030966926479882067,0.000000,0.02127659574468085,0.02127659574468085,0.000000,0.02127659574468085,0.02127659574468085,0.000000,47,47,0,0,0,0,45,0,46,0,init:1;keep:46
uav6,ufz,ufz_v2_2,0.11533315493711525,0.050575327803050636,-0.064758,0.1891891891891892,0.10810810810810811,-0.081081,0.10747014712576518,0.041522876499029124,-0.065947,37,37,0,0,0,0,35,0,36,0,init:1;keep:36
uav7,ufz,ufz_v2_2,0.018376237623762382,0.018376237623762382,0.000000,0.016,0.016,0.000000,0.008603351955307263,0.008603351955307263,0.000000,125,125,0,0,0,0,123,0,124,0,init:1;keep:124
uav8,ufz,ufz_v2_2,0.01970395059307912,0.01970395059307912,0.000000,0.009900990099009901,0.009900990099009901,0.000000,0.009900990099009901,0.009900990099009901,0.000000,101,99,2,0,0,0,97,0,99,1,init:1;keep:98;zoom_in_to_2:1;zoom_out_to_1:1
wakeboard1,ufz,ufz_v2_2,0.8057720665683591,0.8042974510216981,-0.001475,1.0,1.0,0.000000,0.8088610804382501,0.8072106317474597,-0.001650,141,2,62,77,0,0,0,0,0,0,init:1;keep:138;zoom_in_to_2:1;zoom_in_to_4:1
wakeboard10,ufz,ufz_v2_2,0.6891593617960522,0.09673961026675931,-0.592420,1.0,0.4012738853503185,-0.598726,0.6911886628936499,0.09230713998331543,-0.598882,157,155,2,0,0,0,151,0,154,2,init:1;keep:154;zoom_in_to_2:1;zoom_out_to_1:1
wakeboard2,ufz,ufz_v2_2,0.20230349565568811,0.682804606991311,0.480501,0.24489795918367346,0.8734693877551021,0.628571,0.19552154557455556,0.6841186960648372,0.488597,245,28,13,204,0,0,27,0,28,0,cooldown_keep:3;init:1;keep:235;zoom_in_to_2:1;zoom_in_to_4:2;zoom_out_to_1:1;zoom_out_to_2:2
wakeboard3,ufz,ufz_v2_2,0.14624662466246638,0.15049504950495063,0.004248,0.19272727272727272,0.19272727272727272,0.000000,0.13862330135146045,0.14293639474068134,0.004313,275,223,37,15,0,0,222,0,223,0,cooldown_keep:2;init:1;keep:268;zoom_in_to_2:1;zoom_in_to_4:1;zoom_out_to_1:1;zoom_out_to_2:1
wakeboard4,ufz,ufz_v2_2,0.8017677304211112,0.8078018102239412,0.006034,0.9914163090128756,0.9871244635193133,-0.004292,0.8044990111467001,0.8108021236220445,0.006303,233,2,4,227,0,0,0,0,0,2,cooldown_keep:3;init:1;keep:227;zoom_in_to_2:1;zoom_in_to_4:1
wakeboard5,ufz,ufz_v2_2,0.5477426096813617,0.5677571334951024,0.020015,0.6833631484794276,0.7370304114490162,0.053667,0.5469776768777097,0.5670626476376848,0.020085,559,148,9,402,0,0,147,0,148,7,cooldown_keep:3;init:1;keep:549;zoom_in_to_2:1;zoom_in_to_4:2;zoom_out_to_1:1;zoom_out_to_2:2
wakeboard6,ufz,ufz_v2_2,0.20601186082618528,0.200106900150169,-0.005905,0.23393316195372751,0.2467866323907455,0.012853,0.19921447420278354,0.19335456053561764,-0.005860,389,298,91,0,0,0,296,0,297,0,init:1;keep:386;zoom_in_to_2:1;zoom_out_to_1:1
wakeboard7,ufz,ufz_v2_2,0.7740505393822967,0.8353775676075071,0.061327,0.9253731343283582,1.0,0.074627,0.7766842190138952,0.8389268613233345,0.062243,67,2,4,61,0,0,0,0,0,1,cooldown_keep:1;init:1;keep:63;zoom_in_to_2:1;zoom_in_to_4:1
wakeboard8,ufz,ufz_v2_2,0.38431221762952983,0.4128616745169665,0.028549,0.5320388349514563,0.5320388349514563,0.000000,0.3807932043208196,0.40966716583990226,0.028874,515,241,31,243,0,0,240,0,241,1,init:1;keep:510;zoom_in_to_2:1;zoom_in_to_4:1;zoom_out_to_1:1;zoom_out_to_2:1
wakeboard9,ufz,ufz_v2_2,0.018221149846077016,0.018221149846077016,0.000000,0.008403361344537815,0.008403361344537815,0.000000,0.008403361344537815,0.008403361344537815,0.000000,119,119,0,0,0,0,117,0,118,0,init:1;keep:118
